Key,Source,Line,LegacyType,OwnerTask,TargetClassification
ECS/Events/AchievementEvents.cs#AchievementCompletedEvent,ECS/Events/AchievementEvents.cs,7,AchievementCompletedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementEvents.cs#AchievementProgressUpdatedEvent,ECS/Events/AchievementEvents.cs,29,AchievementProgressUpdatedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementEvents.cs#AchievementSeenEvent,ECS/Events/AchievementEvents.cs,43,AchievementSeenEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementSceneEvents.cs#AchievementAnimationComplete,ECS/Events/AchievementSceneEvents.cs,18,AchievementAnimationComplete,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementSceneEvents.cs#AchievementAnimationsComplete,ECS/Events/AchievementSceneEvents.cs,50,AchievementAnimationsComplete,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementSceneEvents.cs#AchievementGridItemHovered,ECS/Events/AchievementSceneEvents.cs,7,AchievementGridItemHovered,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AchievementSceneEvents.cs#AchievementRevealClickedEvent,ECS/Events/AchievementSceneEvents.cs,56,AchievementRevealClickedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/AlertEvents.cs#AlertEvent,ECS/Events/AlertEvents.cs,7,AlertEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/AmbushEvents.cs#AmbushTimerExpired,ECS/Events/AmbushEvents.cs,9,AmbushTimerExpired,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/AnimationEvents.cs#JigglePulseConfig,ECS/Events/AnimationEvents.cs,6,JigglePulseConfig,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/AnimationEvents.cs#JigglePulseEvent,ECS/Events/AnimationEvents.cs,16,JigglePulseEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/AudioSettingsEvents.cs#AudioSettingsChangedEvent,ECS/Events/AudioSettingsEvents.cs,3,AudioSettingsChangedEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BattleEvents.cs#ChangeBattleLocationEvent,ECS/Events/BattleEvents.cs,15,ChangeBattleLocationEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#BattlePhaseAnimationCompleteEvent,ECS/Events/BattlePhaseEvents.cs,17,BattlePhaseAnimationCompleteEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ChangeBattlePhaseEvent,ECS/Events/BattlePhaseEvents.cs,5,ChangeBattlePhaseEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ProceedToNextPhase,ECS/Events/BattlePhaseEvents.cs,13,ProceedToNextPhase,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ShowConfirmButtonEvent,ECS/Events/BattlePhaseEvents.cs,15,ShowConfirmButtonEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ShowStartOfBattleAnimationEvent,ECS/Events/BattlePhaseEvents.cs,22,ShowStartOfBattleAnimationEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ShowVictoryAnimationEvent,ECS/Events/BattlePhaseEvents.cs,24,ShowVictoryAnimationEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ShuffleDeckAnimationCompleted,ECS/Events/BattlePhaseEvents.cs,35,ShuffleDeckAnimationCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#ShuffleDeckAnimationRequested,ECS/Events/BattlePhaseEvents.cs,28,ShuffleDeckAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/BattlePhaseEvents.cs#VictoryAnimationCompleteEvent,ECS/Events/BattlePhaseEvents.cs,26,VictoryAnimationCompleteEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/BlockEvents.cs#AssignedBlockReturnCompleted,ECS/Events/BlockEvents.cs,19,AssignedBlockReturnCompleted,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BlockEvents.cs#BlockAssignmentAdded,ECS/Events/BlockEvents.cs,5,BlockAssignmentAdded,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BlockEvents.cs#BlockAssignmentRemoved,ECS/Events/BlockEvents.cs,12,BlockAssignmentRemoved,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/BlockEvents.cs#ReserveAssignedBlockReturnRequested,ECS/Events/BlockEvents.cs,24,ReserveAssignedBlockReturnRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ActivateEquipmentRequested,ECS/Events/CardEvents.cs,613,ActivateEquipmentRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ApplyCardApplicationEvent,ECS/Events/CardEvents.cs,687,ApplyCardApplicationEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ApplyPledgeToCardRequested,ECS/Events/CardEvents.cs,397,ApplyPledgeToCardRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ApplyRecoilEvent,ECS/Events/CardEvents.cs,729,ApplyRecoilEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#AssignCardAsBlockRequested,ECS/Events/CardEvents.cs,603,AssignCardAsBlockRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#AssignEquipmentAsBlockRequested,ECS/Events/CardEvents.cs,608,AssignEquipmentAsBlockRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CantPlayCardMessage,ECS/Events/CardEvents.cs,428,CantPlayCardMessage,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardBaseRenderCompletedEvent,ECS/Events/CardEvents.cs,65,CardBaseRenderCompletedEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardBaseRenderStartedEvent,ECS/Events/CardEvents.cs,54,CardBaseRenderStartedEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardBlockedEvent,ECS/Events/CardEvents.cs,781,CardBlockedEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardDiscardedForCostEvent,ECS/Events/CardEvents.cs,786,CardDiscardedForCostEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardHighlightRenderEvent,ECS/Events/CardEvents.cs,89,CardHighlightRenderEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardInHandHoveredEvent,ECS/Events/CardEvents.cs,657,CardInHandHoveredEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardListModalCardSelectedEvent,ECS/Events/CardEvents.cs,163,CardListModalCardSelectedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardListSelectionContexts,ECS/Events/CardEvents.cs,156,CardListSelectionContexts,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardMoveFinalizeRequested,ECS/Events/CardEvents.cs,307,CardMoveFinalizeRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardMoveRequested,ECS/Events/CardEvents.cs,262,CardMoveRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardMoved,ECS/Events/CardEvents.cs,275,CardMoved,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardPlayedEvent,ECS/Events/CardEvents.cs,769,CardPlayedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardRenderEvent,ECS/Events/CardEvents.cs,13,CardRenderEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardRenderScaledEvent,ECS/Events/CardEvents.cs,23,CardRenderScaledEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardRenderScaledRotatedEvent,ECS/Events/CardEvents.cs,44,CardRenderScaledRotatedEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardRestrictionMutationAnimationRequested,ECS/Events/CardEvents.cs,695,CardRestrictionMutationAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardShaderPassEvent,ECS/Events/CardEvents.cs,73,CardShaderPassEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardUpgradeConfirmedEvent,ECS/Events/CardEvents.cs,776,CardUpgradeConfirmedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CardsDrawnEvent,ECS/Events/CardEvents.cs,199,CardsDrawnEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ChangeMusicTrack,ECS/Events/CardEvents.cs,500,ChangeMusicTrack,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#CloseCardListModalEvent,ECS/Events/CardEvents.cs,161,CloseCardListModalEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ClosePayCostOverlayEvent,ECS/Events/CardEvents.cs,360,ClosePayCostOverlayEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ConfirmBlocksRequested,ECS/Events/CardEvents.cs,793,ConfirmBlocksRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DebugCommandEvent,ECS/Events/CardEvents.cs,105,DebugCommandEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DeckShuffleDrawEvent,ECS/Events/CardEvents.cs,173,DeckShuffleDrawEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DeckShuffleEvent,ECS/Events/CardEvents.cs,181,DeckShuffleEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DiscardAllCardsEvent,ECS/Events/CardEvents.cs,255,DiscardAllCardsEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DiscardMarkedForSpecificDiscardEvent,ECS/Events/CardEvents.cs,683,DiscardMarkedForSpecificDiscardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DrawPileEmptyEvent,ECS/Events/CardEvents.cs,228,DrawPileEmptyEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#DrawRandomCardFromDiscardEvent,ECS/Events/CardEvents.cs,247,DrawRandomCardFromDiscardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EndTurnDisplayEvent,ECS/Events/CardEvents.cs,648,EndTurnDisplayEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EndTurnRequested,ECS/Events/CardEvents.cs,791,EndTurnRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EquipmentAbilityTriggered,ECS/Events/CardEvents.cs,436,EquipmentAbilityTriggered,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EquipmentActivated,ECS/Events/CardEvents.cs,462,EquipmentActivated,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EquipmentDestroyed,ECS/Events/CardEvents.cs,454,EquipmentDestroyed,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EquipmentHighlightRenderEvent,ECS/Events/CardEvents.cs,90,EquipmentHighlightRenderEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#EquipmentUseResolved,ECS/Events/CardEvents.cs,445,EquipmentUseResolved,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#HandLayoutEvent,ECS/Events/CardEvents.cs,95,HandLayoutEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#HighlightRenderEvent,ECS/Events/CardEvents.cs,81,HighlightRenderEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#HotKeyHoldCompletedEvent,ECS/Events/CardEvents.cs,593,HotKeyHoldCompletedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#IntimidateEvent,ECS/Events/CardEvents.cs,662,IntimidateEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#MarkedForSpecificDiscardEvent,ECS/Events/CardEvents.cs,678,MarkedForSpecificDiscardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#MedalTriggered,ECS/Events/CardEvents.cs,470,MedalTriggered,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#MillCardEvent,ECS/Events/CardEvents.cs,626,MillCardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ModifyActionPointsEvent,ECS/Events/CardEvents.cs,331,ModifyActionPointsEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ModifyCourageEvent,ECS/Events/CardEvents.cs,126,ModifyCourageEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ModifyCourageRequestEvent,ECS/Events/CardEvents.cs,113,ModifyCourageRequestEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ModifySealsEvent,ECS/Events/CardEvents.cs,759,ModifySealsEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#MustBeBlockedEvent,ECS/Events/CardEvents.cs,672,MustBeBlockedEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#OpenCardListModalEvent,ECS/Events/CardEvents.cs,147,OpenCardListModalEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#OpenPayCostOverlayEvent,ECS/Events/CardEvents.cs,344,OpenPayCostOverlayEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PayCostCancelRequested,ECS/Events/CardEvents.cs,373,PayCostCancelRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PayCostCandidateClicked,ECS/Events/CardEvents.cs,365,PayCostCandidateClicked,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PayCostSatisfied,ECS/Events/CardEvents.cs,379,PayCostSatisfied,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PlayCardRequested,ECS/Events/CardEvents.cs,319,PlayCardRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PlayCardToDiscardAnimationRequested,ECS/Events/CardEvents.cs,287,PlayCardToDiscardAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PlayCardToDrawPileAnimationRequested,ECS/Events/CardEvents.cs,297,PlayCardToDrawPileAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PlaySfxEvent,ECS/Events/CardEvents.cs,573,PlaySfxEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PledgeAddedEvent,ECS/Events/CardEvents.cs,419,PledgeAddedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PledgeCardRequested,ECS/Events/CardEvents.cs,388,PledgeCardRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#PledgeRandomCardFromDiscardRequested,ECS/Events/CardEvents.cs,406,PledgeRandomCardFromDiscardRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#QuestSelectRequested,ECS/Events/CardEvents.cs,617,QuestSelectRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RedrawHandEvent,ECS/Events/CardEvents.cs,142,RedrawHandEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RemoveCardApplication,ECS/Events/CardEvents.cs,701,RemoveCardApplication,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RemoveCardApplications,ECS/Events/CardEvents.cs,707,RemoveCardApplications,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RemovePledgeFromCardRequested,ECS/Events/CardEvents.cs,411,RemovePledgeFromCardRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RemoveRandomCardEvent,ECS/Events/CardEvents.cs,724,RemoveRandomCardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RemoveTopCardFromDrawPileRequested,ECS/Events/CardEvents.cs,634,RemoveTopCardFromDrawPileRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#RequestDrawCardsEvent,ECS/Events/CardEvents.cs,219,RequestDrawCardsEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ResetDeckEvent,ECS/Events/CardEvents.cs,190,ResetDeckEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#SealCardsEvent,ECS/Events/CardEvents.cs,750,SealCardsEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#SetActionPointsEvent,ECS/Events/CardEvents.cs,336,SetActionPointsEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#SetCourageEvent,ECS/Events/CardEvents.cs,134,SetCourageEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ShackleEvent,ECS/Events/CardEvents.cs,667,ShackleEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ShuffleRandomCardsFromDiscardToDrawPileEvent,ECS/Events/CardEvents.cs,237,ShuffleRandomCardsFromDiscardToDrawPileEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#ShuffleSealedIntoDrawPileEvent,ECS/Events/CardEvents.cs,767,ShuffleSealedIntoDrawPileEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#StartOfTurnDrawResolvedEvent,ECS/Events/CardEvents.cs,208,StartOfTurnDrawResolvedEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#StopMusic,ECS/Events/CardEvents.cs,512,StopMusic,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#StopSfxEvent,ECS/Events/CardEvents.cs,585,StopSfxEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#TopCardRemovedForMillEvent,ECS/Events/CardEvents.cs,642,TopCardRemovedForMillEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CardEvents.cs#UnassignCardAsBlockRequested,ECS/Events/CardEvents.cs,598,UnassignCardAsBlockRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbCardMutationAnimationRequested,ECS/Events/ClimbEvents.cs,99,ClimbCardMutationAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbCardUpgradeAnimationRequested,ECS/Events/ClimbEvents.cs,93,ClimbCardUpgradeAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbEncounterSlotSelectedEvent,ECS/Events/ClimbEvents.cs,12,ClimbEncounterSlotSelectedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbEventContextIds,ECS/Events/ClimbEvents.cs,51,ClimbEventContextIds,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbEventSlotSelectedEvent,ECS/Events/ClimbEvents.cs,17,ClimbEventSlotSelectedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbLoadoutOpenRequestedEvent,ECS/Events/ClimbEvents.cs,89,ClimbLoadoutOpenRequestedEvent,ECS-044,"Unmanaged event, command, or catalog data"
