Key,Source,Line,LegacyType,OwnerTask,TargetClassification
ECS/Events/ClimbEvents.cs#ClimbPreviewClearedEvent,ECS/Events/ClimbEvents.cs,85,ClimbPreviewClearedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbPreviewStartedEvent,ECS/Events/ClimbEvents.cs,78,ClimbPreviewStartedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbResourceAcquisitionAnimationRequested,ECS/Events/ClimbEvents.cs,108,ClimbResourceAcquisitionAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbResourceHeaderPulseRequested,ECS/Events/ClimbEvents.cs,113,ClimbResourceHeaderPulseRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#ClimbShopSlotSelectedEvent,ECS/Events/ClimbEvents.cs,7,ClimbShopSlotSelectedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#DialogueSequenceCompleted,ECS/Events/ClimbEvents.cs,44,DialogueSequenceCompleted,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#DialogueSequenceRequested,ECS/Events/ClimbEvents.cs,36,DialogueSequenceRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#NarrativeModalChoiceRequested,ECS/Events/ClimbEvents.cs,29,NarrativeModalChoiceRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ClimbEvents.cs#NarrativeModalContent,ECS/Events/ClimbEvents.cs,22,NarrativeModalContent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#ApplyEffect,ECS/Events/CombatEvents.cs,21,ApplyEffect,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#AttackResolved,ECS/Events/CombatEvents.cs,33,AttackResolved,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#DebuffAnimationComplete,ECS/Events/CombatEvents.cs,68,DebuffAnimationComplete,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#DialogEnded,ECS/Events/CombatEvents.cs,92,DialogEnded,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#DialogSkipRequested,ECS/Events/CombatEvents.cs,97,DialogSkipRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyAbsorbComplete,ECS/Events/CombatEvents.cs,39,EnemyAbsorbComplete,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyAttackImpactNow,ECS/Events/CombatEvents.cs,44,EnemyAttackImpactNow,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyDamageAppliedEvent,ECS/Events/CombatEvents.cs,55,EnemyDamageAppliedEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyKilledEvent,ECS/Events/CombatEvents.cs,115,EnemyKilledEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyPhaseLethalEvent,ECS/Events/CombatEvents.cs,120,EnemyPhaseLethalEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EnemyPhaseResetEvent,ECS/Events/CombatEvents.cs,127,EnemyPhaseResetEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#EquipmentActivateEvent,ECS/Events/CombatEvents.cs,110,EquipmentActivateEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#IntentPlanned,ECS/Events/CombatEvents.cs,9,IntentPlanned,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#OnEnemyAttackHitEvent,ECS/Events/CombatEvents.cs,106,OnEnemyAttackHitEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#ResolveAttack,ECS/Events/CombatEvents.cs,17,ResolveAttack,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#ResolvingEnemyDamageEvent,ECS/Events/CombatEvents.cs,48,ResolvingEnemyDamageEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#ShowStunnedOverlay,ECS/Events/CombatEvents.cs,74,ShowStunnedOverlay,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#ShowTransition,ECS/Events/CombatEvents.cs,79,ShowTransition,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#StartDebuffAnimation,ECS/Events/CombatEvents.cs,63,StartDebuffAnimation,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#TransitionCompleteEvent,ECS/Events/CombatEvents.cs,87,TransitionCompleteEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/CombatEvents.cs#TriggerEnemyAttackDisplayEvent,ECS/Events/CombatEvents.cs,102,TriggerEnemyAttackDisplayEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/CurrencyEvents.cs#GoldChanged,ECS/Events/CurrencyEvents.cs,5,GoldChanged,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CurrencyEvents.cs#ModifyGoldRequestEvent,ECS/Events/CurrencyEvents.cs,13,ModifyGoldRequestEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/CursorEvents.cs#CursorStateEvent,ECS/Events/CursorEvents.cs,7,CursorStateEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CursorEvents.cs#HotKeySelectEvent,ECS/Events/CursorEvents.cs,27,HotKeySelectEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/CursorEvents.cs#UIElementHoverEnteredEvent,ECS/Events/CursorEvents.cs,21,UIElementHoverEnteredEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/HideLocationNameEvent.cs#HideLocationNameEvent,ECS/Events/HideLocationNameEvent.cs,3,HideLocationNameEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#ApplyBattleMaxHpEvent,ECS/Events/HpEvents.cs,52,ApplyBattleMaxHpEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#FullyHealEvent,ECS/Events/HpEvents.cs,58,FullyHealEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#HealEvent,ECS/Events/HpEvents.cs,84,HealEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#IncreaseMaxHpEvent,ECS/Events/HpEvents.cs,46,IncreaseMaxHpEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#ModifyHpEvent,ECS/Events/HpEvents.cs,27,ModifyHpEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#ModifyHpRequestEvent,ECS/Events/HpEvents.cs,10,ModifyHpRequestEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#PlayerDied,ECS/Events/HpEvents.cs,66,PlayerDied,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#RunEndSequenceRequested,ECS/Events/HpEvents.cs,80,RunEndSequenceRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/HpEvents.cs#SetHpEvent,ECS/Events/HpEvents.cs,40,SetHpEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/LoadoutEvents.cs#LoadoutCardAdded,ECS/Events/LoadoutEvents.cs,3,LoadoutCardAdded,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/LoadoutEvents.cs#LoadoutCardRemoved,ECS/Events/LoadoutEvents.cs,10,LoadoutCardRemoved,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/MedalEvents.cs#MedalActivateEvent,ECS/Events/MedalEvents.cs,5,MedalActivateEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#ApplyPassiveEvent,ECS/Events/PassiveEvents.cs,10,ApplyPassiveEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#FrostbiteTriggered,ECS/Events/PassiveEvents.cs,62,FrostbiteTriggered,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#PassiveTriggered,ECS/Events/PassiveEvents.cs,43,PassiveTriggered,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#RemoveAllPassives,ECS/Events/PassiveEvents.cs,34,RemoveAllPassives,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#RemovePassive,ECS/Events/PassiveEvents.cs,20,RemovePassive,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#TribulationTriggered,ECS/Events/PassiveEvents.cs,74,TribulationTriggered,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PassiveEvents.cs#UpdatePassive,ECS/Events/PassiveEvents.cs,51,UpdatePassive,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/PlayerInputEvents.cs#PlayerCommandEvent,ECS/Events/PlayerInputEvents.cs,22,PlayerCommandEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/PlayerInputEvents.cs#PlayerInputEvent,ECS/Events/PlayerInputEvents.cs,17,PlayerInputEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/PlayerInputEvents.cs#SetPlayerInputEnabledEvent,ECS/Events/PlayerInputEvents.cs,28,SetPlayerInputEnabledEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderCardEvent,ECS/Events/PlunderEvents.cs,17,PlunderCardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderDiscardAnimationRequested,ECS/Events/PlunderEvents.cs,75,PlunderDiscardAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderForceDiscardEvent,ECS/Events/PlunderEvents.cs,86,PlunderForceDiscardEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderRescueAnimationCompleted,ECS/Events/PlunderEvents.cs,66,PlunderRescueAnimationCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderRescueAnimationRequested,ECS/Events/PlunderEvents.cs,56,PlunderRescueAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderRescueEvent,ECS/Events/PlunderEvents.cs,26,PlunderRescueEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderSnatchAnimationCompleted,ECS/Events/PlunderEvents.cs,46,PlunderSnatchAnimationCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderSnatchAnimationRequested,ECS/Events/PlunderEvents.cs,35,PlunderSnatchAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/PlunderEvents.cs#PlunderTriggerEvent,ECS/Events/PlunderEvents.cs,9,PlunderTriggerEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/PoisonEvents.cs#PoisonDamageEvent,ECS/Events/PoisonEvents.cs,5,PoisonDamageEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/ReplacementEffectEvents.cs#IReplacementEffectProvider,ECS/Events/ReplacementEffectEvents.cs,16,IReplacementEffectProvider,ECS-043,Generated provider/routing contract
ECS/Events/ReplacementEffectEvents.cs#ReplaceableEffectRequest,ECS/Events/ReplacementEffectEvents.cs,21,ReplaceableEffectRequest,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ReplacementEffectEvents.cs#ReplacementEffectAction,ECS/Events/ReplacementEffectEvents.cs,35,ReplacementEffectAction,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/RumbleEvents.cs#RumbleGroupCleared,ECS/Events/RumbleEvents.cs,17,RumbleGroupCleared,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/RumbleEvents.cs#RumbleRequested,ECS/Events/RumbleEvents.cs,5,RumbleRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/RumbleEvents.cs#RumbleSettingsChangedEvent,ECS/Events/RumbleEvents.cs,12,RumbleSettingsChangedEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#BoosterPackOpeningDismissedEvent,ECS/Events/SceneEvents.cs,103,BoosterPackOpeningDismissedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ClaimPendingClimbPointsEvent,ECS/Events/SceneEvents.cs,108,ClaimPendingClimbPointsEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ClimbEndedEvent,ECS/Events/SceneEvents.cs,116,ClimbEndedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ClimbPointsSegmentAwardedEvent,ECS/Events/SceneEvents.cs,110,ClimbPointsSegmentAwardedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#CloseBoosterPackOpeningOverlayEvent,ECS/Events/SceneEvents.cs,101,CloseBoosterPackOpeningOverlayEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#DeleteCachesEvent,ECS/Events/SceneEvents.cs,65,DeleteCachesEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#LoadSceneEvent,ECS/Events/SceneEvents.cs,17,LoadSceneEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#NarrativeEventOverlayClosedEvent,ECS/Events/SceneEvents.cs,131,NarrativeEventOverlayClosedEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#OpenWayStationClimbSettingsModalEvent,ECS/Events/SceneEvents.cs,9,OpenWayStationClimbSettingsModalEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#OpenWayStationSaintsMedalsModalEvent,ECS/Events/SceneEvents.cs,10,OpenWayStationSaintsMedalsModalEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#PrepareMusicTrackEvent,ECS/Events/SceneEvents.cs,60,PrepareMusicTrackEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#PrepareSceneEvent,ECS/Events/SceneEvents.cs,29,PrepareSceneEvent,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#QuestSelected,ECS/Events/SceneEvents.cs,67,QuestSelected,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#SceneActivated,ECS/Events/SceneEvents.cs,54,SceneActivated,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#SceneActivating,ECS/Events/SceneEvents.cs,47,SceneActivating,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#SceneDeactivating,ECS/Events/SceneEvents.cs,41,SceneDeactivating,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ScenePreparationReady,ECS/Events/SceneEvents.cs,35,ScenePreparationReady,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#SceneTransitionRequested,ECS/Events/SceneEvents.cs,22,SceneTransitionRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ShowBoosterPackOpeningOverlayEvent,ECS/Events/SceneEvents.cs,96,ShowBoosterPackOpeningOverlayEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ShowNarrativeEventOverlay,ECS/Events/SceneEvents.cs,123,ShowNarrativeEventOverlay,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#ShowQuestRewardOverlay,ECS/Events/SceneEvents.cs,74,ShowQuestRewardOverlay,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#StartBattleRequested,ECS/Events/SceneEvents.cs,8,StartBattleRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#TreasureChestOpened,ECS/Events/SceneEvents.cs,89,TreasureChestOpened,ECS-040,"Unmanaged event, command, or catalog data"
ECS/Events/SceneEvents.cs#WayStationDialoguePoiSelectedEvent,ECS/Events/SceneEvents.cs,12,WayStationDialoguePoiSelectedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ShockwaveEvents.cs#RectangularShockwaveEvent,ECS/Events/ShockwaveEvents.cs,17,RectangularShockwaveEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/ShockwaveEvents.cs#ShockwaveEvent,ECS/Events/ShockwaveEvents.cs,5,ShockwaveEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/ShopEvents.cs#OpenRunShopRequested,ECS/Events/ShopEvents.cs,12,OpenRunShopRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/ShopEvents.cs#SetShopTitle,ECS/Events/ShopEvents.cs,5,SetShopTitle,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TemperanceEvents.cs#ModifyTemperanceEvent,ECS/Events/TemperanceEvents.cs,9,ModifyTemperanceEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/TemperanceEvents.cs#SetTemperanceEvent,ECS/Events/TemperanceEvents.cs,13,SetTemperanceEvent,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/TemperanceEvents.cs#TriggerTemperance,ECS/Events/TemperanceEvents.cs,22,TriggerTemperance,ECS-043,"Unmanaged event, command, or catalog data"
ECS/Events/ThreatEvents.cs#ModifyThreatEvent,ECS/Events/ThreatEvents.cs,8,ModifyThreatEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/ThreatEvents.cs#SetThreatEvent,ECS/Events/ThreatEvents.cs,17,SetThreatEvent,ECS-042,"Unmanaged event, command, or catalog data"
ECS/Events/TrackingEvents.cs#TrackingEvent,ECS/Events/TrackingEvents.cs,9,TrackingEvent,ECS-041,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#AdvanceTutorialEvent,ECS/Events/TutorialEvents.cs,29,AdvanceTutorialEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#AllTutorialsCompletedEvent,ECS/Events/TutorialEvents.cs,24,AllTutorialsCompletedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#GuidedTutorialRestartRequested,ECS/Events/TutorialEvents.cs,34,GuidedTutorialRestartRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#GuidedTutorialSkipRequested,ECS/Events/TutorialEvents.cs,39,GuidedTutorialSkipRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#TutorialCompletedEvent,ECS/Events/TutorialEvents.cs,16,TutorialCompletedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/TutorialEvents.cs#TutorialStartedEvent,ECS/Events/TutorialEvents.cs,8,TutorialStartedEvent,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/UpdateLocationNameEvent.cs#UpdateLocationNameEvent,ECS/Events/UpdateLocationNameEvent.cs,3,UpdateLocationNameEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#BattlePresentationCompleted,ECS/Events/VisualEffectEvents.cs,75,BattlePresentationCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#BattlePresentationStarted,ECS/Events/VisualEffectEvents.cs,68,BattlePresentationStarted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#BeginDefeatPresentationEvent,ECS/Events/VisualEffectEvents.cs,9,BeginDefeatPresentationEvent,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#PixelBurstAnimationCompleted,ECS/Events/VisualEffectEvents.cs,26,PixelBurstAnimationCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#PixelBurstAnimationRequested,ECS/Events/VisualEffectEvents.cs,15,PixelBurstAnimationRequested,ECS-044,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#VisualEffectCompleted,ECS/Events/VisualEffectEvents.cs,57,VisualEffectCompleted,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#VisualEffectImpactReached,ECS/Events/VisualEffectEvents.cs,51,VisualEffectImpactReached,ECS-045,"Unmanaged event, command, or catalog data"
ECS/Events/VisualEffectEvents.cs#VisualEffectRequested,ECS/Events/VisualEffectEvents.cs,33,VisualEffectRequested,ECS-044,"Unmanaged event, command, or catalog data"
